Term,Type,Document_Frequency,Financial_Literacy,Reason
strategy,Unigram,80,Uncertain,'אסטרטגיה פיננסית' אפשרי אבל כללי מדי לבד
tank,Unigram,80,Regular,
travel expense,Bigram,80,Regular,
treat,Unigram,80,Regular,
user,Unigram,80,Regular,
way free,Bigram,80,Regular,
year end,Bigram,80,Regular,
account use,Bigram,79,Regular,
add better,Bigram,79,Regular,
add value,Bigram,79,Regular,
auto credit,Bigram,79,Regular,
bank thank,Bigram,79,Regular,
better future,Bigram,79,Regular,
birth,Unigram,79,Regular,
business expense,Bigram,79,Regular,
consolidation plan,Bigram,79,Regular,
credit like,Bigram,79,Regular,
din,Unigram,79,Regular,
expense come,Bigram,79,Regular,
family friend,Bigram,79,Regular,
hardworking,Unigram,79,Regular,
home new,Bigram,79,Regular,
home use,Bigram,79,Regular,
iam,Unigram,79,Regular,
job monthly,Bigram,79,Regular,
just don,Bigram,79,Regular,
leave credit,Bigram,79,Regular,
look payoff,Bigram,79,Regular,
meet goal,Bigram,79,Regular,
mission,Unigram,79,Regular,
multi,Unigram,79,Regular,
order make,Bigram,79,Regular,
plan wed,Bigram,79,Regular,
quarter,Unigram,79,Regular,
quit,Unigram,79,Regular,
regardless,Unigram,79,Regular,
rehab,Unigram,79,Regular,
request use,Bigram,79,Regular,
ruin,Unigram,79,Regular,
sector,Unigram,79,Regular,
ship,Unigram,79,Regular,
someday,Unigram,79,Regular,
steady employment,Bigram,79,Regular,
stretch,Unigram,79,Regular,
thankyou,Unigram,79,Regular,
time great,Bigram,79,Regular,
unite state,Bigram,79,Regular,
want money,Bigram,79,Regular,
work great,Bigram,79,Regular,
year employer,Bigram,79,Regular,
account just,Bigram,78,Regular,
accountant,Unigram,78,Regular,
add long,Bigram,78,Regular,
apr add,Bigram,78,Regular,
business use,Bigram,78,Regular,
check credit,Bigram,78,Regular,
consolidate different,Bigram,78,Regular,
consolidate start,Bigram,78,Regular,
consolidation purpose,Bigram,78,Regular,
cover payment,Bigram,78,Regular,
current car,Bigram,78,Regular,
double payment,Bigram,78,Regular,
ethic,Unigram,78,Regular,
house want,Bigram,78,Regular,
incur credit,Bigram,78,Regular,
lend money,Bigram,78,Regular,
like money,Bigram,78,Regular,
love job,Bigram,78,Regular,
mortgage utility,Bigram,78,Regular,
pace,Unigram,78,Regular,
payment little,Bigram,78,Regular,
payment plus,Bigram,78,Regular,
payment sooner,Bigram,78,Regular,
payment term,Bigram,78,Regular,
previous employer,Bigram,78,Regular,
print,Unigram,78,Regular,
rapidly,Unigram,78,Regular,
rat time,Bigram,78,Regular,
really high,Bigram,78,Regular,
repay year,Bigram,78,Regular,
rock,Unigram,78,Regular,
screen,Unigram,78,Regular,
simply want,Bigram,78,Regular,
tenant,Unigram,78,Regular,
thing need,Bigram,78,Regular,
time consider,Bigram,78,Regular,
truly appreciate,Bigram,78,Regular,
try buy,Bigram,78,Regular,
use finance,Bigram,78,Regular,
work day,Bigram,78,Regular,
work month,Bigram,78,Regular,
year mortgage,Bigram,78,Regular,
year new,Bigram,78,Regular,
add run,Bigram,77,Regular,
add short,Bigram,77,Regular,
add upgrade,Bigram,77,Regular,
add way,Bigram,77,Regular,
aggressive,Unigram,77,Regular,
approximately year,Bigram,77,Regular,
bind,Unigram,77,Regular,
budget add,Bigram,77,Regular,
business grow,Bigram,77,Regular,
car work,Bigram,77,Regular,
card begin,Bigram,77,Regular,
certification,Unigram,77,Regular,
chicago,Unigram,77,Regular,
court,Unigram,77,Regular,
dept consolidation,Bigram,77,Regular,
drain,Unigram,77,Regular,
enjoy life,Bigram,77,Regular,
establish credit,Bigram,77,Regular,
expense house,Bigram,77,Regular,
experian,Unigram,77,Literacy,
fantastic,Unigram,77,Regular,
good late,Bigram,77,Regular,
high lower,Bigram,77,Regular,
house like,Bigram,77,Regular,
income make,Bigram,77,Regular,
kitchen cabinet,Bigram,77,Regular,
money higher,Bigram,77,Regular,
month late,Bigram,77,Regular,
mortgage credit,Bigram,77,Regular,
new furnace,Bigram,77,Regular,
outdoor,Unigram,77,Regular,
participate,Unigram,77,Regular,
paydown,Unigram,77,Regular,
purchase motorcycle,Bigram,77,Regular,
record time,Bigram,77,Regular,
rest money,Bigram,77,Regular,
salaried,Unigram,77,Regular,
spa,Unigram,77,Regular,
sum payment,Bigram,77,Regular,
total cost,Bigram,77,Regular,
upside,Unigram,77,Regular,
use work,Bigram,77,Regular,
account want,Bigram,76,Regular,
add dental,Bigram,76,Regular,
add let,Bigram,76,Regular,
add ready,Bigram,76,Regular,
add relocate,Bigram,76,Regular,
administration,Unigram,76,Regular,
air force,Bigram,76,Regular,
appreciate assistance,Bigram,76,Regular,
business business,Bigram,76,Regular,
card capital,Bigram,76,Regular,
club consolidate,Bigram,76,Regular,
club payment,Bigram,76,Regular,
cosmetic,Unigram,76,Regular,
document,Unigram,76,Regular,
fund higher,Bigram,76,Regular,
guess,Unigram,76,Regular,
help payoff,Bigram,76,Regular,
highest rate,Bigram,76,Regular,
ideal,Unigram,76,Regular,
jack,Unigram,76,Regular,
jan,Unigram,76,Regular,
job steady,Bigram,76,Regular,
just little,Bigram,76,Regular,
master card,Bigram,76,Regular,
money work,Bigram,76,Regular,
money year,Bigram,76,Regular,
need assistance,Bigram,76,Regular,
new payment,Bigram,76,Regular,
new place,Bigram,76,Regular,
picture,Unigram,76,Regular,
rat monthly,Bigram,76,Regular,
rate just,Bigram,76,Regular,
stable secure,Bigram,76,Regular,
super,Unigram,76,Regular,
teeth,Unigram,76,Regular,
thank review,Bigram,76,Regular,
time employment,Bigram,76,Regular,
use finish,Bigram,76,Regular,
want clear,Bigram,76,Regular,
want monthly,Bigram,76,Regular,
wheel,Unigram,76,Regular,
year don,Bigram,76,Regular,
year employment,Bigram,76,Regular,
year responsible,Bigram,76,Regular,
able month,Bigram,75,Regular,
able purchase,Bigram,75,Regular,
add old,Bigram,75,Regular,
annual salary,Bigram,75,Regular,
awhile,Unigram,75,Regular,
card control,Bigram,75,Regular,
classic,Unigram,75,Regular,
consolidate use,Bigram,75,Regular,
coverage,Unigram,75,Regular,
dream home,Bigram,75,Regular,
eliminate year,Bigram,75,Regular,
expense cover,Bigram,75,Regular,
fewer,Unigram,75,Regular,
finally free,Bigram,75,Regular,
good history,Bigram,75,Regular,
heavy,Unigram,75,Regular,
individually,Unigram,75,Regular,
job want,Bigram,75,Regular,
medical dental,Bigram,75,Regular,
medical field,Bigram,75,Regular,
money away,Bigram,75,Regular,
money invest,Bigram,75,Regular,
month total,Bigram,75,Regular,
mortgage month,Bigram,75,Regular,
payment excellent,Bigram,75,Regular,
permit,Unigram,75,Regular,
rat currently,Bigram,75,Regular,
really good,Bigram,75,Regular,
recieved,Unigram,75,Regular,
regain,Unigram,75,Regular,
relate expense,Bigram,75,Regular,
save year,Bigram,75,Regular,
shortly,Unigram,75,Regular,
timeshare,Unigram,75,Regular,
unfortunate,Unigram,75,Regular,
want better,Bigram,75,Regular,
acct,Unigram,74,Regular,
add chase,Bigram,74,Regular,
add sell,Bigram,74,Regular,
affordable monthly,Bigram,74,Regular,
air conditioner,Bigram,74,Regular,
atv,Unigram,74,Regular,
breakdown,Unigram,74,Regular,
camp,Unigram,74,Regular,
card extra,Bigram,74,Regular,
card plus,Bigram,74,Regular,
conditioner,Unigram,74,Regular,
consolidate fix,Bigram,74,Regular,
countertop,Unigram,74,Regular,
credit important,Bigram,74,Regular,
defense,Unigram,74,Regular,
earnings,Unigram,74,Regular,
excessive,Unigram,74,Regular,
fianc,Unigram,74,Regular,
finalize,Unigram,74,Regular,
help great,Bigram,74,Regular,
house thank,Bigram,74,Regular,
like balance,Bigram,74,Regular,
main reason,Bigram,74,Regular,
make larger,Bigram,74,Regular,
make little,Bigram,74,Regular,
mileage,Unigram,74,Regular,
multiple account,Bigram,74,Regular,
music,Unigram,74,Regular,
plan leave,Bigram,74,Regular,
rainy,Unigram,74,Regular,
recieve,Unigram,74,Regular,
recovery,Unigram,74,Regular,
repair roof,Bigram,74,Regular,
resort,Unigram,74,Regular,
rest credit,Bigram,74,Regular,
shed,Unigram,74,Regular,
stable add,Bigram,74,Regular,
time employ,Bigram,74,Regular,
undergraduate,Unigram,74,Regular,
upgrade kitchen,Bigram,74,Regular,
water damage,Bigram,74,Regular,
able afford,Bigram,73,Regular,
add roof,Bigram,73,Regular,
add sorry,Bigram,73,Regular,
add truck,Bigram,73,Regular,
allow payment,Bigram,73,Regular,
anytime,Unigram,73,Regular,
appreciate support,Bigram,73,Regular,
card simple,Bigram,73,Regular,
chase card,Bigram,73,Regular,
company thank,Bigram,73,Regular,
consolidate currently,Bigram,73,Regular,
davidson,Unigram,73,Regular,
dell,Unigram,73,Regular,
expense monthly,Bigram,73,Regular,
extra income,Bigram,73,Regular,
financial decision,Bigram,73,Regular,
financial life,Bigram,73,Regular,
finish home,Bigram,73,Regular,
forth,Unigram,73,Regular,
fulltime,Unigram,73,Regular,
goal add,Bigram,73,Regular,
harley davidson,Bigram,73,Regular,
help manage,Bigram,73,Regular,
inform,Unigram,73,Regular,
juggle,Unigram,73,Regular,
just graduate,Bigram,73,Regular,
learn lesson,Bigram,73,Regular,
little easier,Bigram,73,Regular,
look consolidation,Bigram,73,Regular,
money owe,Bigram,73,Regular,
money wed,Bigram,73,Regular,
monthly rent,Bigram,73,Regular,
new baby,Bigram,73,Regular,
obviously,Unigram,73,Regular,
open account,Bigram,73,Regular,
past couple,Bigram,73,Regular,
payment payoff,Bigram,73,Regular,
police,Unigram,73,Regular,
purchase price,Bigram,73,Regular,
rate work,Bigram,73,Regular,
request thank,Bigram,73,Regular,
sam,Unigram,73,Regular,
state tax,Bigram,73,Regular,
wood floor,Bigram,73,Regular,
activity,Unigram,72,Regular,
add rent,Bigram,72,Regular,
add struggle,Bigram,72,Regular,
appeal,Unigram,72,Regular,
apr high,Bigram,72,Regular,
attain,Unigram,72,Regular,
auto insurance,Bigram,72,Regular,
avoid high,Bigram,72,Regular,
balance make,Bigram,72,Regular,
bring credit,Bigram,72,Regular,
consolidate amp,Bigram,72,Regular,
consolidate good,Bigram,72,Regular,
credit stand,Bigram,72,Regular,
cross,Unigram,72,Regular,
currently rent,Bigram,72,Regular,
different account,Bigram,72,Regular,
disposable income,Bigram,72,Regular,
expense mortgage,Bigram,72,Regular,
good steady,Bigram,72,Regular,
greeting,Unigram,72,Regular,
help better,Bigram,72,Regular,
hold job,Bigram,72,Regular,
home car,Bigram,72,Regular,
house car,Bigram,72,Regular,
intend consolidate,Bigram,72,Regular,
job able,Bigram,72,Regular,
like save,Bigram,72,Regular,
llc,Unigram,72,Regular,
low balance,Bigram,72,Regular,
manage monthly,Bigram,72,Regular,
money future,Bigram,72,Regular,
monitor,Unigram,72,Regular,
month consolidate,Bigram,72,Regular,
need just,Bigram,72,Regular,
north,Unigram,72,Regular,
payment consolidation,Bigram,72,Regular,
payment remain,Bigram,72,Regular,
payment rent,Bigram,72,Regular,
physician,Unigram,72,Regular,
possibility,Unigram,72,Regular,
purpose high,Bigram,72,Regular,
rate plan,Bigram,72,Regular,
recently buy,Bigram,72,Regular,
reimburse,Unigram,72,Regular,
saving add,Bigram,72,Regular,
score excellent,Bigram,72,Regular,
shorten,Unigram,72,Regular,
shorter term,Bigram,72,Regular,
sooner year,Bigram,72,Regular,
spot,Unigram,72,Regular,
supervisor,Unigram,72,Regular,
technical,Unigram,72,Regular,
time review,Bigram,72,Regular,
want fix,Bigram,72,Regular,
way make,Bigram,72,Regular,
wrap,Unigram,72,Regular,
year finally,Bigram,72,Regular,
year know,Bigram,72,Regular,
year money,Bigram,72,Regular,
year position,Bigram,72,Regular,
add emergency,Bigram,71,Regular,
add incur,Bigram,71,Regular,
add know,Bigram,71,Regular,
add remain,Bigram,71,Regular,
add secure,Bigram,71,Regular,
add young,Bigram,71,Regular,
attractive,Unigram,71,Regular,
card irs,Bigram,71,Regular,
consilidate,Unigram,71,Regular,
consolidation use,Bigram,71,Regular,
credit high,Bigram,71,Regular,
currently look,Bigram,71,Regular,
delinquent account,Bigram,71,Regular,
different rat,Bigram,71,Regular,
erase,Unigram,71,Regular,
essential,Unigram,71,Regular,
faster save,Bigram,71,Regular,
financial institution,Bigram,71,Regular,
frustrate,Unigram,71,Regular,
fund plan,Bigram,71,Regular,
gym,Unigram,71,Regular,
history stable,Bigram,71,Regular,
include rent,Bigram,71,Regular,
larger payment,Bigram,71,Regular,
life insurance,Bigram,71,Regular,
like say,Bigram,71,Regular,
line work,Bigram,71,Regular,
live house,Bigram,71,Regular,
macy,Unigram,71,Regular,
need payment,Bigram,71,Regular,
need personal,Bigram,71,Regular,
oldest,Unigram,71,Regular,
payment employ,Bigram,71,Regular,
payment equal,Bigram,71,Regular,
payment require,Bigram,71,Regular,
payment start,Bigram,71,Regular,
payment way,Bigram,71,Regular,
personal high,Bigram,71,Regular,
plan work,Bigram,71,Regular,
purchase year,Bigram,71,Regular,
retirement account,Bigram,71,Regular,
score high,Bigram,71,Regular,
septic,Unigram,71,Regular,
short period,Bigram,71,Regular,
sort,Unigram,71,Regular,
strong credit,Bigram,71,Regular,
talk,Unigram,71,Regular,
term goal,Bigram,71,Regular,
washer dryer,Bigram,71,Regular,
wil,Unigram,71,Regular,
year employ,Bigram,71,Regular,
year receive,Bigram,71,Regular,
accts,Unigram,70,Regular,
accumulate college,Bigram,70,Regular,
add decide,Bigram,70,Regular,
add think,Bigram,70,Regular,
alleviate,Unigram,70,Regular,
buy furniture,Bigram,70,Regular,
card cash,Bigram,70,Regular,
come month,Bigram,70,Regular,
competitive,Unigram,70,Regular,
compound,Unigram,70,Literacy,
consolidate old,Bigram,70,Regular,
decline,Unigram,70,Regular,
default late,Bigram,70,Regular,
dramatically,Unigram,70,Regular,
economic time,Bigram,70,Regular,
essentially,Unigram,70,Regular,
feb,Unigram,70,Regular,
finance credit,Bigram,70,Regular,
fiscally,Unigram,70,Regular,
fund new,Bigram,70,Regular,
gas food,Bigram,70,Regular,
good salary,Bigram,70,Regular,
harder,Unigram,70,Regular,
high demand,Bigram,70,Regular,
honestly,Unigram,70,Regular,
include car,Bigram,70,Regular,
increase rate,Bigram,70,Regular,
like better,Bigram,70,Regular,
money able,Bigram,70,Regular,
money cover,Bigram,70,Regular,
month look,Bigram,70,Regular,
payment rid,Bigram,70,Regular,
payoff current,Bigram,70,Regular,
quicker lower,Bigram,70,Regular,
rat allow,Bigram,70,Regular,
recently graduate,Bigram,70,Regular,
reduce current,Bigram,70,Regular,
remodel project,Bigram,70,Regular,
score make,Bigram,70,Regular,
shoulder,Unigram,70,Regular,
strict budget,Bigram,70,Regular,
time save,Bigram,70,Regular,
try refinance,Bigram,70,Regular,
use eliminate,Bigram,70,Regular,
use motorcycle,Bigram,70,Regular,
use remainder,Bigram,70,Regular,
use tax,Bigram,70,Regular,
vacation add,Bigram,70,Regular,
valuable,Unigram,70,Regular,
video,Unigram,70,Regular,
year continue,Bigram,70,Regular,
add irs,Bigram,69,Regular,
add thing,Bigram,69,Regular,
assume,Unigram,69,Regular,
bulk,Unigram,69,Regular,
cash advance,Bigram,69,Regular,
college education,Bigram,69,Regular,
college tuition,Bigram,69,Regular,
credit record,Bigram,69,Regular,
dependent,Unigram,69,Regular,
eligible,Unigram,69,Regular,
finance thank,Bigram,69,Regular,
free faster,Bigram,69,Regular,
fund receive,Bigram,69,Regular,
good deal,Bigram,69,Regular,
government job,Bigram,69,Regular,
help eliminate,Bigram,69,Regular,
high personal,Bigram,69,Regular,
increase income,Bigram,69,Regular,
inquiry,Unigram,69,Uncertain,'בירור אשראי' (hard/soft inquiry) אפשרי אבל גם שאלה כללית
insurance month,Bigram,69,Regular,
life track,Bigram,69,Regular,
look free,Bigram,69,Regular,
loose,Unigram,69,Regular,
make small,Bigram,69,Regular,
meet obligation,Bigram,69,Regular,
month stable,Bigram,69,Regular,
multiple card,Bigram,69,Regular,
need finance,Bigram,69,Regular,
new credit,Bigram,69,Regular,
open new,Bigram,69,Regular,
plan retire,Bigram,69,Regular,
pretty good,Bigram,69,Regular,
question answer,Bigram,69,Regular,
receive promotion,Bigram,69,Regular,
refrigerator,Unigram,69,Regular,
school district,Bigram,69,Regular,
secure position,Bigram,69,Regular,
sleep,Unigram,69,Regular,
time consolidate,Bigram,69,Regular,
tremendous,Unigram,69,Regular,
update home,Bigram,69,Regular,
use emergency,Bigram,69,Regular,
wed honeymoon,Bigram,69,Regular,
work business,Bigram,69,Regular,
work federal,Bigram,69,Regular,
additional month,Bigram,68,Regular,
additional payment,Bigram,68,Regular,
ahead schedule,Bigram,68,Regular,
balance faster,Bigram,68,Regular,
bite money,Bigram,68,Regular,
budget monthly,Bigram,68,Regular,
business credit,Bigram,68,Regular,
card dental,Bigram,68,Regular,
card employ,Bigram,68,Regular,
card large,Bigram,68,Regular,
chapter,Unigram,68,Regular,
club allow,Bigram,68,Regular,
club use,Bigram,68,Regular,
consolodate credit,Bigram,68,Regular,
cost month,Bigram,68,Regular,
cut half,Bigram,68,Regular,
deploy,Unigram,68,Regular,
developer,Unigram,68,Regular,
drastically,Unigram,68,Regular,
exam,Unigram,68,Regular,
express card,Bigram,68,Regular,
eye,Unigram,68,Regular,
finish school,Bigram,68,Regular,
hard credit,Bigram,68,Regular,
house credit,Bigram,68,Regular,
increase cash,Bigram,68,Regular,
inground,Unigram,68,Regular,
irs tax,Bigram,68,Regular,
lesser,Unigram,68,Regular,
life little,Bigram,68,Regular,
lower balance,Bigram,68,Regular,
lower currently,Bigram,68,Regular,
miss credit,Bigram,68,Regular,
obligation time,Bigram,68,Regular,
order free,Bigram,68,Regular,
panel,Unigram,68,Regular,
plan continue,Bigram,68,Regular,
position company,Bigram,68,Regular,
rate late,Bigram,68,Regular,
rate order,Bigram,68,Regular,
reduce apr,Bigram,68,Regular,
reduce total,Bigram,68,Regular,
resident,Unigram,68,Regular,
rest assure,Bigram,68,Regular,
roof repair,Bigram,68,Regular,
second mortgage,Bigram,68,Regular,
seek fund,Bigram,68,Regular,
select,Unigram,68,Regular,
source income,Bigram,68,Regular,
stave,Unigram,68,Regular,
suppose,Unigram,68,Regular,
technician,Unigram,68,Regular,
thank god,Bigram,68,Regular,
unexpectedly,Unigram,68,Regular,
wife credit,Bigram,68,Regular,
add bathroom,Bigram,67,Regular,
add motorcycle,Bigram,67,Regular,
add primary,Bigram,67,Regular,
add school,Bigram,67,Regular,
advance add,Bigram,67,Regular,
appreciative,Unigram,67,Regular,
award,Unigram,67,Regular,
bofa,Unigram,67,Regular,
card focus,Bigram,67,Regular,
card remodel,Bigram,67,Regular,
card stop,Bigram,67,Regular,
cash reserve,Bigram,67,Regular,
club good,Bigram,67,Regular,
company raise,Bigram,67,Regular,
constantly,Unigram,67,Regular,
credit help,Bigram,67,Regular,
daycare,Unigram,67,Regular,
default payment,Bigram,67,Regular,
discount,Unigram,67,Regular,
eacute,Unigram,67,Regular,
employ employer,Bigram,67,Regular,
exclude,Unigram,67,Regular,
history thank,Bigram,67,Regular,
house sell,Bigram,67,Regular,
income credit,Bigram,67,Regular,
lessen,Unigram,67,Regular,
limit credit,Bigram,67,Regular,
little credit,Bigram,67,Regular,
live year,Bigram,67,Regular,
monthly cost,Bigram,67,Regular,
morning,Unigram,67,Regular,
overall rate,Bigram,67,Regular,
payoff car,Bigram,67,Regular,
pending,Unigram,67,Regular,
rate quicker,Bigram,67,Regular,
rate term,Bigram,67,Regular,
reason credit,Bigram,67,Regular,
refinance consolidate,Bigram,67,Regular,
ride,Unigram,67,Regular,
simplify finance,Bigram,67,Regular,
stabilize,Unigram,67,Regular,
stream,Unigram,67,Regular,
time high,Bigram,67,Regular,
variety,Unigram,67,Regular,
withdrawal,Unigram,67,Uncertain,משיכת כספים (טכני) אך גם משיכה כללית
year hope,Bigram,67,Regular,
add excite,Bigram,66,Regular,
adjust,Unigram,66,Regular,
allocate,Unigram,66,Regular,
allow better,Bigram,66,Regular,
brand new,Bigram,66,Regular,
card financial,Bigram,66,Regular,
consolidate dept,Bigram,66,Regular,
consolidate lend,Bigram,66,Regular,
cost add,Bigram,66,Regular,
different date,Bigram,66,Regular,
earn money,Bigram,66,Regular,
efficiency,Unigram,66,Regular,
elderly,Unigram,66,Regular,
equity line,Bigram,66,Regular,
firm year,Bigram,66,Regular,
free help,Bigram,66,Regular,
fund cover,Bigram,66,Regular,
help financially,Bigram,66,Regular,
help medical,Bigram,66,Regular,
hope able,Bigram,66,Regular,
like opportunity,Bigram,66,Regular,
linger,Unigram,66,Regular,
lucky,Unigram,66,Regular,
main purpose,Bigram,66,Regular,
make big,Bigram,66,Regular,
money payoff,Bigram,66,Regular,
month leave,Bigram,66,Regular,
new position,Bigram,66,Regular,
payment extra,Bigram,66,Regular,
payment issue,Bigram,66,Regular,
payment responsible,Bigram,66,Regular,
payment timely,Bigram,66,Regular,
rate reduce,Bigram,66,Regular,
recently receive,Bigram,66,Regular,
request high,Bigram,66,Regular,
saving plan,Bigram,66,Regular,
settlement,Unigram,66,Regular,
start make,Bigram,66,Regular,
stay home,Bigram,66,Regular,
think good,Bigram,66,Regular,
way help,Bigram,66,Regular,
west,Unigram,66,Regular,
work ethic,Bigram,66,Regular,
able work,Bigram,65,Regular,
account consolidate,Bigram,65,Regular,
add reliable,Bigram,65,Regular,
agent,Unigram,65,Regular,
appraisal,Unigram,65,Uncertain,הערכת שווי (טכני) אך גם יכול להיות תהליך פרוצדורלי לא קשור לידע הלווה
base salary,Bigram,65,Regular,
bay,Unigram,65,Regular,
budget payment,Bigram,65,Regular,
card bring,Bigram,65,Regular,
card mortgage,Bigram,65,Regular,
card right,Bigram,65,Regular,
card zero,Bigram,65,Regular,
coast,Unigram,65,Regular,
consolidate time,Bigram,65,Regular,
credit work,Bigram,65,Regular,
cut payment,Bigram,65,Regular,
daughter marry,Bigram,65,Regular,
duration,Unigram,65,Regular,
easily afford,Bigram,65,Regular,
employeed,Unigram,65,Regular,
exist high,Bigram,65,Regular,
expense need,Bigram,65,Regular,
federal tax,Bigram,65,Regular,
free goal,Bigram,65,Regular,
freelance,Unigram,65,Regular,
friday,Unigram,65,Regular,
fund business,Bigram,65,Regular,
goal completely,Bigram,65,Regular,
great time,Bigram,65,Regular,
help foot,Bigram,65,Regular,
history add,Bigram,65,Regular,
home make,Bigram,65,Regular,
hot water,Bigram,65,Regular,
inspection,Unigram,65,Regular,
job love,Bigram,65,Regular,
los,Unigram,65,Regular,
make multiple,Bigram,65,Regular,
marine,Unigram,65,Regular,
month expense,Bigram,65,Regular,
need medical,Bigram,65,Regular,
non profit,Bigram,65,Regular,
payment amp,Bigram,65,Regular,
payment kind,Bigram,65,Regular,
phd,Unigram,65,Regular,
rate look,Bigram,65,Regular,
recently marry,Bigram,65,Regular,
recently start,Bigram,65,Regular,
reduce number,Bigram,65,Regular,
rental income,Bigram,65,Regular,
rid card,Bigram,65,Regular,
school expense,Bigram,65,Regular,
second job,Bigram,65,Regular,
signature,Unigram,65,Regular,
snow,Unigram,65,Regular,
start credit,Bigram,65,Regular,
succeed,Unigram,65,Regular,
term year,Bigram,65,Regular,
time past,Bigram,65,Regular,
triple,Unigram,65,Regular,
way high,Bigram,65,Regular,
work field,Bigram,65,Regular,
work thank,Bigram,65,Regular,
year lend,Bigram,65,Regular,
year minimum,Bigram,65,Regular,
add fiance,Bigram,64,Regular,
add provide,Bigram,64,Regular,
afford monthly,Bigram,64,Regular,
apr like,Bigram,64,Regular,
arrive,Unigram,64,Regular,
away credit,Bigram,64,Regular,
balance close,Bigram,64,Regular,
calculate,Unigram,64,Regular,
car thank,Bigram,64,Regular,
card range,Bigram,64,Regular,
careful,Unigram,64,Regular,
cash need,Bigram,64,Regular,
citi bank,Bigram,64,Regular,
civil,Unigram,64,Regular,
company grow,Bigram,64,Regular,
consolidate rid,Bigram,64,Regular,
consumer credit,Bigram,64,Regular,
dealership,Unigram,64,Regular,
expense relate,Bigram,64,Regular,
expense use,Bigram,64,Regular,
family medical,Bigram,64,Regular,
feature,Unigram,64,Regular,
forward work,Bigram,64,Regular,
free end,Bigram,64,Regular,
good work,Bigram,64,Regular,
great company,Bigram,64,Regular,
hello use,Bigram,64,Regular,
high income,Bigram,64,Regular,
house rent,Bigram,64,Regular,
know credit,Bigram,64,Regular,
like great,Bigram,64,Regular,
like home,Bigram,64,Regular,
make financial,Bigram,64,Regular,
month mortgage,Bigram,64,Regular,
month period,Bigram,64,Regular,
order credit,Bigram,64,Regular,
outgo,Unigram,64,Regular,
payment fit,Bigram,64,Regular,
personal consolidate,Bigram,64,Regular,
personal payment,Bigram,64,Regular,
phase,Unigram,64,Regular,
plan thank,Bigram,64,Regular,
present job,Bigram,64,Regular,
rain,Unigram,64,Regular,
rainy day,Bigram,64,Regular,
rat year,Bigram,64,Regular,
recently promote,Bigram,64,Regular,
refinance mortgage,Bigram,64,Regular,
repay month,Bigram,64,Regular,
review request,Bigram,64,Regular,
simplify monthly,Bigram,64,Regular,
steadily employ,Bigram,64,Regular,
structure payment,Bigram,64,Regular,
student car,Bigram,64,Regular,
suggest,Unigram,64,Regular,
sure time,Bigram,64,Regular,
term add,Bigram,64,Regular,
thing easier,Bigram,64,Regular,
thing like,Bigram,64,Regular,
tire make,Bigram,64,Regular,
try year,Bigram,64,Regular,
wanna,Unigram,64,Regular,
work industry,Bigram,64,Regular,
work make,Bigram,64,Regular,
year buy,Bigram,64,Regular,
year previous,Bigram,64,Regular,
add life,Bigram,63,Regular,
add single,Bigram,63,Regular,
ago credit,Bigram,63,Regular,
allot,Unigram,63,Regular,
angeles,Unigram,63,Regular,
budget work,Bigram,63,Regular,
card installment,Bigram,63,Regular,
citizen,Unigram,63,Regular,
clothe household,Bigram,63,Regular,
college work,Bigram,63,Regular,
currently try,Bigram,63,Regular,
defer,Unigram,63,Literacy,
easy manage,Bigram,63,Regular,
escrow,Unigram,63,Literacy,
expense car,Bigram,63,Regular,
fight,Unigram,63,Regular,
frugal,Unigram,63,Regular,
fully employ,Bigram,63,Regular,
fund payment,Bigram,63,Regular,
haven able,Bigram,63,Regular,
hike,Unigram,63,Regular,
home build,Bigram,63,Regular,
home home,Bigram,63,Regular,
improve cash,Bigram,63,Regular,
include new,Bigram,63,Regular,
income just,Bigram,63,Regular,
instead year,Bigram,63,Regular,
job look,Bigram,63,Regular,
joint,Unigram,63,Regular,
life credit,Bigram,63,Regular,
look finance,Bigram,63,Regular,
los angeles,Bigram,63,Regular,
luck,Unigram,63,Regular,
make major,Bigram,63,Regular,
math,Unigram,63,Regular,
membership,Unigram,63,Regular,
money new,Bigram,63,Regular,
money spend,Bigram,63,Regular,
month include,Bigram,63,Regular,
month saving,Bigram,63,Regular,
month try,Bigram,63,Regular,
monthly saving,Bigram,63,Regular,
monthy payment,Bigram,63,Regular,
need care,Bigram,63,Regular,
new vehicle,Bigram,63,Regular,
number credit,Bigram,63,Regular,
oct,Unigram,63,Regular,
opportunity thank,Bigram,63,Regular,
opt,Unigram,63,Regular,
overall payment,Bigram,63,Regular,
payment hope,Bigram,63,Regular,
payment increase,Bigram,63,Regular,
previous job,Bigram,63,Regular,
properly,Unigram,63,Regular,
rat look,Bigram,63,Regular,
repair vehicle,Bigram,63,Regular,
reputation,Unigram,63,Regular,
street,Unigram,63,Regular,
style,Unigram,63,Regular,
tax insurance,Bigram,63,Regular,
thank contribute,Bigram,63,Regular,
time share,Bigram,63,Regular,
timeframe,Unigram,63,Regular,
trap,Unigram,63,Regular,
venue,Unigram,63,Regular,
wage,Unigram,63,Regular,
want know,Bigram,63,Regular,
work car,Bigram,63,Regular,
work new,Bigram,63,Regular,
worse,Unigram,63,Regular,
year industry,Bigram,63,Regular,
year really,Bigram,63,Regular,
year school,Bigram,63,Regular,
young professional,Bigram,63,Regular,
